nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,Unnamed: 17,Unnamed: 18,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col12,Col13
P2,Intensity Max,1185,1185,1185,0,1185,1185,1185,1185,1,,Surface,2,,Image 1,,37,,,,,,,,,,,,,,
P2,Intensity Max,485,485,485,0,485,485,485,485,1,,Surface,2,,Image 1,,38,,,,,,,,,,,,,,
P2,Intensity Max,688,688,688,0,688,688,688,688,1,,Surface,2,,Image 1,,39,,,,,,,,,,,,,,
P2,Intensity Max,745,745,745,0,745,745,745,745,1,,Surface,2,,Image 1,,40,,,,,,,,,,,,,,
P2,Intensity Max,347,347,347,0,347,347,347,347,1,,Surface,2,,Image 1,,41,,,,,,,,,,,,,,
P2,Intensity Max,145,145,145,0,145,145,145,145,1,,Surface,2,,Image 1,,45,,,,,,,,,,,,,,
P2,Intensity Max,153,153,153,0,153,153,153,153,1,,Surface,2,,Image 1,,49,,,,,,,,,,,,,,
P2,Intensity Max,186,186,186,0,186,186,186,186,1,,Surface,2,,Image 1,,50,,,,,,,,,,,,,,
P2,Intensity Max,187,187,187,0,187,187,187,187,1,,Surface,2,,Image 1,,51,,,,,,,,,,,,,,
ABal,Intensity Max,275,275,275,0,275,275,275,275,1,,Surface,2,,Image 1,,27,,,,,,,,,,,,,,
ABal,Intensity Max,302,302,302,0,302,302,302,302,1,,Surface,2,,Image 1,,28,,,,,,,,,,,,,,
ABal,Intensity Max,274,274,274,0,274,274,274,274,1,,Surface,2,,Image 1,,29,,,,,,,,,,,,,,
ABal,Intensity Max,228,228,228,0,228,228,228,228,1,,Surface,2,,Image 1,,30,,,,,,,,,,,,,,
ABal,Intensity Max,447,447,447,0,447,447,447,447,1,,Surface,2,,Image 1,,31,,,,,,,,,,,,,,
ABal,Intensity Max,399,399,399,0,399,399,399,399,1,,Surface,2,,Image 1,,32,,,,,,,,,,,,,,
ABal,Intensity Max,626,626,626,0,626,626,626,626,1,,Surface,2,,Image 1,,33,,,,,,,,,,,,,,
ABal,Intensity Max,731,731,731,0,731,731,731,731,1,,Surface,2,,Image 1,,34,,,,,,,,,,,,,,
ABal,Intensity Max,894,894,894,0,894,894,894,894,1,,Surface,2,,Image 1,,35,,,,,,,,,,,,,,
ABal,Intensity Max,820,820,820,0,820,820,820,820,1,,Surface,2,,Image 1,,36,,,,,,,,,,,,,,
ABal,Intensity Max,667,667,667,0,667,667,667,667,1,,Surface,2,,Image 1,,37,,,,,,,,,,,,,,
ABal,Intensity Max,815,815,815,0,815,815,815,815,1,,Surface,2,,Image 1,,38,,,,,,,,,,,,,,
