
Overall
 ==================== 
Variable,Value,Unit,Class,Time,ID,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,114,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,115,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,116,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,117,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,118,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,119,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,120,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,121,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,122,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,123,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,124,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,125,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,126,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,127,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,128,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,129,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,130,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,131,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,132,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,133,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,134,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,135,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,136,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,137,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,138,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,139,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,140,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,141,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,142,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,143,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,144,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,145,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,146,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,147,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,148,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,149,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,150,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,151,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,152,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,153,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,154,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,155,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,156,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,157,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,158,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,159,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,160,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,161,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,162,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,163,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,164,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,165,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,166,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,167,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,168,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,169,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,170,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,171,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,172,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,173,,
Total Number of Spots,226.000,,,,,
