Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time
Area,35.819,156.228,96.59,35.657,92.529,68.547,126.531,965.901,10,µm^2,Surface,,,,,,119
Area,34.099,156.07,96.352,35.888,92.868,70.125,126.422,963.525,10,µm^2,Surface,,,,,,120
Area,62.893,156.042,103.549,30.545,104,78.656,129.344,931.94,9,µm^2,Surface,,,,,,121
Area,66.195,153.882,103.327,29.623,103.016,79.281,128.031,929.946,9,µm^2,Surface,,,,,,122
Area,33.218,154.967,96.315,36.175,92.37,69.25,127.25,963.146,10,µm^2,Surface,,,,,,123
Area,65.061,155,103.365,30.105,103.394,79.719,128.094,930.288,9,µm^2,Surface,,,,,,124
Area,64.464,155.381,103.383,30.379,103.325,81.031,127.281,930.444,9,µm^2,Surface,,,,,,125
Area,60.817,152.913,103.826,30.552,103.745,80.281,127.281,934.43,9,µm^2,Surface,,,,,,126
Area,62.032,155.066,103.005,31.233,102.429,79.594,128.406,927.046,9,µm^2,Surface,,,,,,127
Area,57.718,154.288,102.895,31.306,102.883,78.906,130.156,926.053,9,µm^2,Surface,,,,,,128
Area,61.75,154.735,102.708,30.999,102.451,78.531,127.344,924.369,9,µm^2,Surface,,,,,,129
Area,57.445,156.211,103.214,32.003,101.817,80.031,128.281,928.923,9,µm^2,Surface,,,,,,130
Area,60.531,156.959,107.185,30.384,111.942,79.844,127.531,857.478,8,µm^2,Surface,,,,,,131
Area,58.48,156.02,102.543,32.048,100.081,80.344,128.344,922.889,9,µm^2,Surface,,,,,,132
Area,58.743,155.868,101.798,31.983,99.036,79.656,127.594,916.18,9,µm^2,Surface,,,,,,133
Area,59.022,155.437,101.606,32.169,97.852,80.719,128.344,914.454,9,µm^2,Surface,,,,,,134
Area,54.402,155.221,106.098,30.916,110.006,81.281,128.359,848.785,8,µm^2,Surface,,,,,,135
Area,55.68,156.19,101.242,32.44,99.082,79.844,127.906,911.175,9,µm^2,Surface,,,,,,136
Area,57.962,156.934,100.873,32.083,98.065,78.844,125.719,907.853,9,µm^2,Surface,,,,,,137
Area,56.072,156.123,100.36,32.313,98.294,79.531,123.656,903.24,9,µm^2,Surface,,,,,,138
Area,54.944,156.914,100.53,33.649,97.927,78.406,128.094,904.768,9,µm^2,Surface,,,,,,139
Area,55.834,157.72,99.896,33.234,97.806,77.281,127.094,899.067,9,µm^2,Surface,,,,,,140
Area,53.195,156.649,99.715,33.172,96.052,78.094,126.656,897.437,9,µm^2,Surface,,,,,,141
Area,56.187,155.322,105.371,30.965,108.905,79.469,127.906,842.965,8,µm^2,Surface,,,,,,142
Area,49.858,156.399,98.967,34.216,96.968,77.156,126.219,890.699,9,µm^2,Surface,,,,,,143
Area,51.831,157.432,104.693,32.216,107.738,79.391,127.031,837.544,8,µm^2,Surface,,,,,,144
Area,51.384,155.378,98.662,34.012,95.452,77.469,126.844,887.96,9,µm^2,Surface,,,,,,145
Area,52.929,155.148,98.992,33.698,96.452,77.656,127.469,890.924,9,µm^2,Surface,,,,,,146
Area,50.121,156.302,98.463,34.196,95.769,76.906,126.156,886.169,9,µm^2,Surface,,,,,,147
Area,48.227,157.304,98.423,34.994,95.733,76.719,128.406,885.808,9,µm^2,Surface,,,,,,148
Area,47.678,156.247,103.607,32.733,106.994,78.766,126.266,828.857,8,µm^2,Surface,,,,,,149
Area,44.882,156.396,97.227,35.054,94.597,76.031,125.031,875.041,9,µm^2,Surface,,,,,,150
Area,41.866,156.464,102.519,34.263,106.324,77.906,126.891,820.151,8,µm^2,Surface,,,,,,151
Area,50.579,155.572,103.078,31.889,105.695,77.938,124.75,824.627,8,µm^2,Surface,,,,,,152
Area,45.91,155.13,102.496,33.212,106.1,77.469,125.75,819.971,8,µm^2,Surface,,,,,,153
Area,43.321,155.606,102.035,33.805,106.492,77.266,125.141,816.281,8,µm^2,Surface,,,,,,154
Area,43.524,155.626,101.724,33.56,105.921,77.156,124.219,813.79,8,µm^2,Surface,,,,,,155
Area,43.517,155.016,101.146,33.233,106.192,76.734,122.453,809.167,8,µm^2,Surface,,,,,,156
Area,42.667,156.334,101.849,33.674,106.313,77.562,124.031,814.795,8,µm^2,Surface,,,,,,157
Area,42.546,153.174,100.759,32.985,103.714,77.062,124.109,806.069,8,µm^2,Surface,,,,,,158
Area,43.327,155.054,100.325,33.435,103.173,75.297,123.703,802.597,8,µm^2,Surface,,,,,,159
Area,40.811,152.213,99.477,33.226,102.041,75.656,123.734,795.816,8,µm^2,Surface,,,,,,160
Area,41.704,153.989,99.81,33.239,101.999,76.5,123.047,798.477,8,µm^2,Surface,,,,,,161
Area,39.558,153.317,99.358,33.521,101.387,76.375,122.656,794.867,8,µm^2,Surface,,,,,,162
Area,36.965,151.779,98.607,33.972,101.599,75.5,122.938,788.856,8,µm^2,Surface,,,,,,163
Area,39.487,152.312,98.803,33.301,101.7,75.469,121.859,790.425,8,µm^2,Surface,,,,,,164
Area,40.072,149.23,98.263,32.476,100.442,76.109,121.875,786.105,8,µm^2,Surface,,,,,,165
Area,38.285,148.041,98.181,33.051,100.932,75.203,122.953,785.452,8,µm^2,Surface,,,,,,166
Area,36.217,151.249,91.715,37.236,89.001,74.906,120.594,825.433,9,µm^2,Surface,,,,,,167
Area,34.845,147.88,96.999,33.238,102.074,75.062,119.156,775.99,8,µm^2,Surface,,,,,,168
Area,35.575,146.366,97.029,32.805,102.678,75.234,118.875,776.232,8,µm^2,Surface,,,,,,169
Area,35.988,146.812,96.22,32.478,99.958,75.016,118.391,769.758,8,µm^2,Surface,,,,,,170
Area,34.059,146.885,96.186,33.433,99.998,73.859,119.797,769.486,8,µm^2,Surface,,,,,,171
Area,32.723,149.527,95.796,33.704,99.367,74.656,117.594,766.365,8,µm^2,Surface,,,,,,172
Area,37.689,145.412,97.122,31.974,102.093,75.719,119.797,776.977,8,µm^2,Surface,,,,,,173
Distance from Origin,13025.4,13032.305,13028.853,3.452,13028.853,13027.127,13030.58,26057.705,2,µm,Surface,,,Distance from Origin,,,1
Distance from Origin,13025.413,13032.72,13029.066,3.653,13029.066,13027.239,13030.894,26058.133,2,µm,Surface,,,Distance from Origin,,,2
Distance from Origin,13025.868,13034.252,13030.061,4.192,13030.061,13027.967,13032.158,26060.121,2,µm,Surface,,,Distance from Origin,,,3
Distance from Origin,13024.913,13035.266,13030.09,5.176,13030.09,13027.5,13032.68,26060.18,2,µm,Surface,,,Distance from Origin,,,4
Distance from Origin,13022.865,13035.447,13029.156,6.291,13029.156,13026.01,13032.303,26058.312,2,µm,Surface,,,Distance from Origin,,,5
Distance from Origin,13020.368,13034.919,13027.644,7.275,13027.644,13024.008,13031.281,26055.287,2,µm,Surface,,,Distance from Origin,,,6
Distance from Origin,13017.887,13033.898,13025.893,8.006,13025.893,13021.887,13029.895,26051.785,2,µm,Surface,,,Distance from Origin,,,7
Distance from Origin,13018.371,13035.549,13026.96,8.589,13026.96,13022.664,13031.258,26053.92,2,µm,Surface,,,Distance from Origin,,,8
Distance from Origin,13019.825,13036.216,13028.021,8.195,13028.021,13023.918,13032.113,26056.041,2,µm,Surface,,,Distance from Origin,,,9
Distance from Origin,13019.785,13035.249,13027.518,7.732,13027.518,13023.65,13031.381,26055.035,2,µm,Surface,,,Distance from Origin,,,10
Distance from Origin,13018.485,13034.879,13026.682,8.197,13026.682,13022.59,13030.785,26053.363,2,µm,Surface,,,Distance from Origin,,,11
Distance from Origin,13035.045,13035.045,13035.045,0,13035.045,13035.045,13035.045,13035.045,1,µm,Surface,,,Distance from Origin,,,12
Distance from Origin,13035.759,13035.759,13035.759,0,13035.759,13035.759,13035.759,13035.759,1,µm,Surface,,,Distance from Origin,,,13
Distance from Origin,13018.027,13022.081,13020.055,2.027,13020.055,13019.042,13021.067,26040.109,2,µm,Surface,,,Distance from Origin,,,15
Distance from Origin,13018.199,13023.501,13020.85,2.651,13020.85,13019.526,13022.177,26041.699,2,µm,Surface,,,Distance from Origin,,,16
Distance from Origin,13017.924,13037.586,13028.309,7.404,13028.861,13023.484,13033.684,52113.234,4,µm,Surface,,,Distance from Origin,,,17
Distance from Origin,13015.757,13037.598,13027.426,7.981,13028.176,13023.082,13032.516,52109.703,4,µm,Surface,,,Distance from Origin,,,18
Distance from Origin,13014.073,13038.788,13027.358,8.942,13028.286,13022.977,13032.672,52109.434,4,µm,Surface,,,Distance from Origin,,,19
Distance from Origin,13013.1,13040.63,13027.768,9.862,13028.672,13023.391,13033.051,52111.07,4,µm,Surface,,,Distance from Origin,,,20
Distance from Origin,13013.09,13041.514,13028.033,10.09,13028.764,13024.277,13032.52,52112.133,4,µm,Surface,,,Distance from Origin,,,21
Distance from Origin,13013.498,13041.503,13027.986,9.925,13028.473,13024.203,13032.25,52111.945,4,µm,Surface,,,Distance from Origin,,,22
Distance from Origin,13013.854,13041.118,13027.89,9.658,13028.293,13024.223,13031.965,52111.559,4,µm,Surface,,,Distance from Origin,,,23
Distance from Origin,13013.962,13040.703,13027.572,9.502,13027.812,13023.371,13032.016,52110.289,4,µm,Surface,,,Distance from Origin,,,24
Distance from Origin,13014.188,13040.242,13027.328,9.218,13027.44,13023.793,13030.984,52109.312,4,µm,Surface,,,Distance from Origin,,,25
Distance from Origin,13026.953,13039.716,13033.334,6.381,13033.334,13030.146,13036.525,26066.668,2,µm,Surface,,,Distance from Origin,,,26
Distance from Origin,13028.161,13039.312,13033.736,5.576,13033.736,13030.949,13036.527,26067.473,2,µm,Surface,,,Distance from Origin,,,27
Distance from Origin,13026.406,13038.433,13032.42,6.013,13032.42,13029.416,13035.428,26064.84,2,µm,Surface,,,Distance from Origin,,,28
Distance from Origin,13013.039,13036.569,13025.147,8.357,13025.491,13021.617,13029.023,52100.59,4,µm,Surface,,,Distance from Origin,,,29
Distance from Origin,13011.721,13035.556,13024.235,9.767,13025.431,13018.578,13030.492,39072.707,3,µm,Surface,,,Distance from Origin,,,30
Distance from Origin,13011.737,13035.441,13022.928,8.488,13022.266,13018.398,13026.797,52091.711,4,µm,Surface,,,Distance from Origin,,,31
Distance from Origin,13011.444,13036.222,13022.655,8.839,13021.478,13018.875,13025.27,52090.621,4,µm,Surface,,,Distance from Origin,,,32
Distance from Origin,13010.661,13037.401,13024.527,10.338,13025.024,13017.027,13032.523,52098.109,4,µm,Surface,,,Distance from Origin,,,33
Distance from Origin,13009.999,13037.25,13024.636,9.64,13026.062,13018.258,13031.602,65123.176,5,µm,Surface,,,Distance from Origin,,,34
Distance from Origin,13009.422,13030.988,13020.955,7.975,13021.705,13016.285,13026.375,52083.82,4,µm,Surface,,,Distance from Origin,,,35
Distance from Origin,13009.613,13031.09,13020.428,7.727,13020.504,13016.262,13024.664,52081.711,4,µm,Surface,,,Distance from Origin,,,36
Distance from Origin,13009.641,13034.372,13023.309,8.233,13022.643,13019.383,13029.859,78139.852,6,µm,Surface,,,Distance from Origin,,,37
Distance from Origin,13009.014,13032.953,13020.264,8.501,13019.543,13016.543,13023.258,52081.055,4,µm,Surface,,,Distance from Origin,,,38
Distance from Origin,13008.87,13037.548,13026.788,10.247,13033.822,13018.945,13034.695,91187.516,7,µm,Surface,,,Distance from Origin,,,39
