nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,Unnamed: 17
ABpr,Intensity Max,203,203,203,0,203,203,203,203,1,,Surface,1,,Image 1,,28,
MS,Intensity Max,969,969,969,0,969,969,969,969,1,,Surface,1,,Image 1,,22,
MS,Intensity Max,1081,1081,1081,0,1081,1081,1081,1081,1,,Surface,1,,Image 1,,23,
MS,Intensity Max,960,960,960,0,960,960,960,960,1,,Surface,1,,Image 1,,24,
MS,Intensity Max,1323,1323,1323,0,1323,1323,1323,1323,1,,Surface,1,,Image 1,,25,
MS,Intensity Max,1829,1829,1829,0,1829,1829,1829,1829,1,,Surface,1,,Image 1,,26,
MS,Intensity Max,2952,2952,2952,0,2952,2952,2952,2952,1,,Surface,1,,Image 1,,27,
MS,Intensity Max,4000,4000,4000,0,4000,4000,4000,4000,1,,Surface,1,,Image 1,,28,
MS,Intensity Max,3630,3630,3630,0,3630,3630,3630,3630,1,,Surface,1,,Image 1,,29,
MS,Intensity Max,4172,4172,4172,0,4172,4172,4172,4172,1,,Surface,1,,Image 1,,30,
MS,Intensity Max,3393,3393,3393,0,3393,3393,3393,3393,1,,Surface,1,,Image 1,,31,
MS,Intensity Max,2634,2634,2634,0,2634,2634,2634,2634,1,,Surface,1,,Image 1,,32,
MS,Intensity Max,3234,3234,3234,0,3234,3234,3234,3234,1,,Surface,1,,Image 1,,33,
MS,Intensity Max,1773,1773,1773,0,1773,1773,1773,1773,1,,Surface,1,,Image 1,,34,
MS,Intensity Max,488,488,488,0,488,488,488,488,1,,Surface,1,,Image 1,,35,
MS,Intensity Max,286,286,286,0,286,286,286,286,1,,Surface,1,,Image 1,,36,
MS,Intensity Max,265,265,265,0,265,265,265,265,1,,Surface,1,,Image 1,,37,
MS,Intensity Max,235,235,235,0,235,235,235,235,1,,Surface,1,,Image 1,,38,
E,Intensity Max,246,246,246,0,246,246,246,246,1,,Surface,1,,Image 1,,21,
E,Intensity Max,670,670,670,0,670,670,670,670,1,,Surface,1,,Image 1,,22,
E,Intensity Max,1111,1111,1111,0,1111,1111,1111,1111,1,,Surface,1,,Image 1,,23,
E,Intensity Max,708,708,708,0,708,708,708,708,1,,Surface,1,,Image 1,,24,
E,Intensity Max,2511,2511,2511,0,2511,2511,2511,2511,1,,Surface,1,,Image 1,,25,
E,Intensity Max,3375,3375,3375,0,3375,3375,3375,3375,1,,Surface,1,,Image 1,,26,
E,Intensity Max,3711,3711,3711,0,3711,3711,3711,3711,1,,Surface,1,,Image 1,,27,
E,Intensity Max,5103,5103,5103,0,5103,5103,5103,5103,1,,Surface,1,,Image 1,,28,
E,Intensity Max,6159,6159,6159,0,6159,6159,6159,6159,1,,Surface,1,,Image 1,,29,
E,Intensity Max,5327,5327,5327,0,5327,5327,5327,5327,1,,Surface,1,,Image 1,,30,
E,Intensity Max,5014,5014,5014,0,5014,5014,5014,5014,1,,Surface,1,,Image 1,,31,
E,Intensity Max,4446,4446,4446,0,4446,4446,4446,4446,1,,Surface,1,,Image 1,,32,
E,Intensity Max,5201,5201,5201,0,5201,5201,5201,5201,1,,Surface,1,,Image 1,,33,
E,Intensity Max,3399,3399,3399,0,3399,3399,3399,3399,1,,Surface,1,,Image 1,,34,
E,Intensity Max,3479,3479,3479,0,3479,3479,3479,3479,1,,Surface,1,,Image 1,,35,
E,Intensity Max,2066,2066,2066,0,2066,2066,2066,2066,1,,Surface,1,,Image 1,,36,
E,Intensity Max,774,774,774,0,774,774,774,774,1,,Surface,1,,Image 1,,37,
E,Intensity Max,415,415,415,0,415,415,415,415,1,,Surface,1,,Image 1,,38,
E,Intensity Max,438,438,438,0,438,438,438,438,1,,Surface,1,,Image 1,,39,
E,Intensity Max,373,373,373,0,373,373,373,373,1,,Surface,1,,Image 1,,40,
E,Intensity Max,264,264,264,0,264,264,264,264,1,,Surface,1,,Image 1,,41,
P3,Intensity Max,567,567,567,0,567,567,567,567,1,,Surface,1,,Image 1,,26,
P3,Intensity Max,1132,1132,1132,0,1132,1132,1132,1132,1,,Surface,1,,Image 1,,27,
P3,Intensity Max,683,683,683,0,683,683,683,683,1,,Surface,1,,Image 1,,28,
P3,Intensity Max,444,444,444,0,444,444,444,444,1,,Surface,1,,Image 1,,29,
P3,Intensity Max,292,292,292,0,292,292,292,292,1,,Surface,1,,Image 1,,30,
P3,Intensity Max,276,276,276,0,276,276,276,276,1,,Surface,1,,Image 1,,31,
P3,Intensity Max,277,277,277,0,277,277,277,277,1,,Surface,1,,Image 1,,32,
P3,Intensity Max,303,303,303,0,303,303,303,303,1,,Surface,1,,Image 1,,33,
P3,Intensity Max,282,282,282,0,282,282,282,282,1,,Surface,1,,Image 1,,34,
P3,Intensity Max,280,280,280,0,280,280,280,280,1,,Surface,1,,Image 1,,35,
P3,Intensity Max,270,270,270,0,270,270,270,270,1,,Surface,1,,Image 1,,36,
P3,Intensity Max,274,274,274,0,274,274,274,274,1,,Surface,1,,Image 1,,37,
